Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
"As a customer, I want to add my payment information, so that I can process payments faster.",ECSA-17,10016,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-3,User Account,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,10002,User Account,To Do,06-09-2024 13:46
"As a customer, I want to be able to log in to my account, so that I can manage my account",ECSA-16,10015,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:52,06-09-2024 14:20,,version 2.o,,,0,User-Admin,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-3,User Account,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,10002,User Account,To Do,06-09-2024 13:46
"As a customer, I want to select which items that I would like cancelled, so I can obtain a refund.",ECSA-15,10014,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:50,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-2,Cancelling Orders,,,,,,,,,,0|i00033:,,,,,,,,,,,,,,,10001,Cancelling Orders,To Do,06-09-2024 13:46
"As a customer, I want to be cancel recently purchased orders, so that I obtain a refund.",ECSA-14,10013,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:44,07-09-2024 11:50,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-2,Cancelling Orders,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,,,10001,Cancelling Orders,To Do,06-09-2024 13:44
"As a customer, I want to add my Credit Card information, so I can pay for the items.",ECSA-13,10012,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:44,07-09-2024 11:50,06-09-2024 14:10,,version 1,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0002n:,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,06-09-2024 13:44
"As a customer, I want to add a new Shipping Address, so I can send the order to a different location",ECSA-12,10011,Story,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:43,07-09-2024 12:25,07-09-2024 12:13,07-09-2024 12:25,version 1,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001x:,,,ECSA Sprint 1,,8,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81691779,10000,Shopping Cart,Done,07-09-2024 12:25
"As a customer, I want to add a different Shipping Address than my Billing Address, so I can have the product shipped to the correct location",ECSA-11,10010,Story,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:43,07-09-2024 12:25,07-09-2024 12:13,07-09-2024 12:25,version 1,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001v:,,,ECSA Sprint 1,,5,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81706748,10000,Shopping Cart,Done,07-09-2024 12:25
"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",ECSA-10,10009,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:43,07-09-2024 11:50,06-09-2024 14:09,,version 1,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001z:,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,06-09-2024 13:43
"As a customer, I want to review the items in my cart, so that I can correct any items before I purchase them.",ECSA-9,10008,Story,verifyy,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:42,07-09-2024 12:25,07-09-2024 12:16,,version 1,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001r:,,,ECSA Sprint 1,,5,,,,,,,,,,10000,Shopping Cart,In Progress,07-09-2024 12:25
"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",ECSA-8,10007,Story,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:39,07-09-2024 12:24,07-09-2024 12:16,07-09-2024 12:24,version 1,ios,,0,SHOPPING,"Acceptance Criteria
1

2

3

4

5",,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001j:,,,ECSA Sprint 1,,8,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81898523,10000,Shopping Cart,Done,07-09-2024 12:24
Shopping Location,ECSA-7,10006,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:49,06-09-2024 14:16,06-09-2024 14:21,,,,,0,Store-Info,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-7,,,,To Do,,,purple,,,,,0|i0001b:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:49
Loyalties Program,ECSA-6,10005,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:49,06-09-2024 14:13,06-09-2024 14:16,,,,,0,User-Admin,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-6,,,,To Do,,,green,,,,,0|i00013:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:49
Product Search,ECSA-5,10004,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:49,07-09-2024 12:04,06-09-2024 14:17,,,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-5,,,,To Do,,,dark_teal,,,,,0|i0000v:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:49
Shopping Interface,ECSA-4,10003,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:48,07-09-2024 12:04,06-09-2024 14:19,,,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-8,,,,To Do,,,dark_purple,,,,,0|i0000n:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:48
User Account,ECSA-3,10002,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:48,06-09-2024 14:12,06-09-2024 14:19,,,,,0,User-Admin,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-11,,,,To Do,,,teal,,,,,0|i0000f:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:48
Cancelling Orders,ECSA-2,10001,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:48,06-09-2024 14:11,06-09-2024 14:11,,,,,0,SHOPPING,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-13,,,,To Do,,,dark_green,,,,,0|i00007:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:48
Shopping Cart,ECSA-1,10000,Epic,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 12:45,07-09-2024 12:04,06-09-2024 12:50,,,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,ghx-label-9,,,,To Do,,,orange,,,,,0|hzzzzz:,,,,,,,,,,,,,,,,,To Do,06-09-2024 12:45
